mcdi_complexity_raw,gender,age,mcdi_complexity_inter_ptile_within,mcdi_complexity_inter_ptile_both
9999,M,24,9999,9999
9999,M,25,9999,9999
9999,M,26,9999,9999
9999,M,27,9999,9999
9999,M,28,9999,9999
9999,M,29,9999,9999
9999,F,16,9999,9999
9999,F,17,9999,9999
9999,F,18,9999,9999
9999,F,19,9999,9999
9999,F,20,9999,9999
9999,F,21,9999,9999
9999,F,22,9999,9999
9999,F,23,9999,9999
9999,F,24,9999,9999
9999,F,25,9999,9999
9999,F,26,9999,9999
9999,F,27,9999,9999
9999,F,28,9999,9999
9999,F,29,9999,9999
